Ticker,SimFinId,Date,Close,Volume,Shares Outstanding,Company Name,day_of_week,month,quarter,year,daily_return,ema_20,next_day_return,target_class,next_day_price
AAPL,111052,2019-10-11,59.05,167960840,17772944000.0,APPLE INC,4,10,4,2019,2.6599443671766236,55.84059720560231,-0.1354784081287016,0,58.97
AAPL,111052,2019-10-14,58.97,97653936,17772944000.0,APPLE INC,0,10,4,2019,-0.1354784081287016,56.13863556697351,-0.237408851958624,0,58.83
AAPL,111052,2019-10-15,58.83,92161932,17772944000.0,APPLE INC,1,10,4,2019,-0.237408851958624,56.39495598916651,-0.40795512493624836,0,58.59
AAPL,111052,2019-10-16,58.59,77146776,17772944000.0,APPLE INC,2,10,4,2019,-0.40795512493624836,56.60400779972208,0.39255845707458076,1,58.82
AAPL,111052,2019-10-17,58.82,69091588,17772944000.0,APPLE INC,3,10,4,2019,0.39255845707458076,56.81505467593903,0.4760285617137048,1,59.1
AAPL,111052,2019-10-18,59.1,96992092,17773060000.0,APPLE INC,4,10,4,2019,0.4760285617137048,57.032668516325785,1.7428087986463638,1,60.13
AAPL,111052,2019-10-21,60.13,87246268,17773060000.0,APPLE INC,0,10,4,2019,1.7428087986463638,57.3276524671519,-0.23282887077997766,0,59.99
AAPL,111052,2019-10-22,59.99,90736004,17773060000.0,APPLE INC,1,10,4,2019,-0.23282887077997766,57.58120937504219,1.350225037506243,1,60.8
AAPL,111052,2019-10-23,60.8,79730180,17773060000.0,APPLE INC,2,10,4,2019,1.350225037506243,57.887760863133416,0.16447368421052866,1,60.9
AAPL,111052,2019-10-24,60.9,71665020,17773060000.0,APPLE INC,3,10,4,2019,0.16447368421052866,58.17464078093023,1.2315270935960592,1,61.65
AAPL,111052,2019-10-25,61.65,73477184,17773060000.0,APPLE INC,4,10,4,2019,1.2315270935960592,58.505627373222595,0.9894566098945653,1,62.26
AAPL,111052,2019-10-28,62.26,94621472,17773060000.0,APPLE INC,0,10,4,2019,0.9894566098945653,58.863186671010915,-2.312881464824924,0,60.82
AAPL,111052,2019-10-29,60.82,142839468,17773060000.0,APPLE INC,1,10,4,2019,-2.312881464824924,59.04954984520035,-0.016441959881614617,0,60.81
AAPL,111052,2019-10-30,60.81,124522088,17773060000.0,APPLE INC,2,10,4,2019,-0.016441959881614617,59.21721176470508,2.269363591514546,1,62.19
AAPL,111052,2019-10-31,62.19,139162080,17773060000.0,APPLE INC,3,10,4,2019,2.269363591514546,59.50033445378078,2.83003698343786,1,63.95
AAPL,111052,2019-11-01,63.95,151125336,17773060000.0,APPLE INC,4,11,4,2019,2.83003698343786,59.92411212484927,0.6724003127443199,1,64.38
AAPL,111052,2019-11-04,64.38,103271808,17773060000.0,APPLE INC,0,11,4,2019,0.6724003127443199,60.348482398673156,-0.15532774153462928,0,64.28
AAPL,111052,2019-11-05,64.28,79897708,17773060000.0,APPLE INC,1,11,4,2019,-0.15532774153462928,60.722912646418564,0.04667081518357364,1,64.31
AAPL,111052,2019-11-06,64.31,75864496,17773060000.0,APPLE INC,2,11,4,2019,0.04667081518357364,61.06454001342632,0.855232467734407,1,64.86
AAPL,111052,2019-11-07,64.86,94940332,17773060000.0,APPLE INC,3,11,4,2019,0.855232467734407,61.426012393099995,0.26210299105766527,1,65.03
AAPL,111052,2019-11-08,65.03,70081980,17773060000.0,APPLE INC,4,11,4,2019,0.26210299105766527,61.76924930804285,0.7996309395663478,1,65.55
AAPL,111052,2019-11-11,65.55,82029836,17773060000.0,APPLE INC,0,11,4,2019,0.7996309395663478,62.12932080251496,-0.09153318077803552,0,65.49
AAPL,111052,2019-11-12,65.49,87388904,17773060000.0,APPLE INC,1,11,4,2019,-0.09153318077803552,62.44938548798973,0.9619789280806378,1,66.12
AAPL,111052,2019-11-13,66.12,103270372,17773060000.0,APPLE INC,2,11,4,2019,0.9619789280806378,62.7989678224669,-0.6957047791893647,0,65.66
AAPL,111052,2019-11-14,65.66,89582224,17773060000.0,APPLE INC,3,11,4,2019,-0.6957047791893647,63.07144707747005,1.1879378617118508,1,66.44
AAPL,111052,2019-11-15,66.44,100374664,17773060000.0,APPLE INC,4,11,4,2019,1.1879378617118508,63.39226164152052,0.5117399157134308,1,66.78
AAPL,111052,2019-11-18,66.78,86803588,17773060000.0,APPLE INC,0,11,4,2019,0.5117399157134308,63.71490338994714,-0.31446540880504337,0,66.57
AAPL,111052,2019-11-19,66.57,76278388,17773060000.0,APPLE INC,1,11,4,2019,-0.31446540880504337,63.98681735280931,-1.1566771819137691,0,65.8
AAPL,111052,2019-11-20,65.8,106439676,17773060000.0,APPLE INC,2,11,4,2019,-1.1566771819137691,64.15950141444651,-0.45592705167172826,0,65.5
AAPL,111052,2019-11-21,65.5,121395112,17773060000.0,APPLE INC,3,11,4,2019,-0.45592705167172826,64.28716794640398,-0.09160305343511797,0,65.44
AAPL,111052,2019-11-22,65.44,65325052,17773060000.0,APPLE INC,4,11,4,2019,-0.09160305343511797,64.3969614753179,1.7573349633251922,1,66.59
AAPL,111052,2019-11-25,66.59,84118068,17773060000.0,APPLE INC,0,11,4,2019,1.7573349633251922,64.60582228719238,-0.7808980327376637,0,66.07
AAPL,111052,2019-11-26,66.07,105339528,17773060000.0,APPLE INC,1,11,4,2019,-0.7808980327376637,64.74526778365025,1.3470561525654619,1,66.96
AAPL,111052,2019-11-27,66.96,65544488,17773060000.0,APPLE INC,2,11,4,2019,1.3470561525654619,64.95619466139784,-0.22401433691755002,0,66.81
AAPL,111052,2019-11-29,66.81,46617452,17773060000.0,APPLE INC,4,11,4,2019,-0.22401433691755002,65.13274755078852,-1.1525220775332974,0,66.04
AAPL,111052,2019-12-02,66.04,94774200,17773060000.0,APPLE INC,0,12,4,2019,-1.1525220775332974,65.21915254595152,-1.7867958812840805,0,64.86
